Name,Mean,Range,SumList,Sd,Area_m2,Area_km2
20AngiospermsVasternorrlandsHavNollBf__TotalSkydd.tif,0.008015787564445277,0.7400000095367432,22.33999994210899,0.04495322324539268,174187500,174,2
20AngiospermsVastragotlandHavNollBf__TotalSkydd.tif,0.02005996770443043,1.0,398.06999912671745,0.096434555301376,1240250000,1240,3
25Rivermouth_FishBlekinge__TotalSkydd.tif,0.007245540413673252,0.6800000071525574,27.620000056922436,0.051791009261404154,238250000,238,3
25Rivermouth_FishBottniskaVikenHavNollBf__TotalSkydd.tif,0.0,0.0,0.0,0.0,326500000,326,5
25Rivermouth_FishEgentligaOstersjonHavNollBf__TotalSkydd.tif,0.0,0.0,0.0,0.0,10196250000,10196,3
25Rivermouth_FishGavleborgsHavNollBf__TotalSkydd.tif,0.006324863887836518,0.6499999761581421,13.940000008791685,0.045630855106562916,137750000,137,8
25Rivermouth_FishGOTLANDSHavNollBf__TotalSkydd.tif,4.2555741858593824e-05,0.1899999976158142,0.7099999971687794,0.0022474956871473845,1042750000,1042,8
25Rivermouth_FishHALLANDSHavNollBf__TotalSkydd.tif,0.014227729118028224,1.0,66.60000000149012,0.09264816418272984,292562500,292,6
25Rivermouth_FishKALMARHavNollBf__TotalSkydd.tif,0.0038662790708864727,0.699999988079071,23.94000000692904,0.03176049438927855,387000000,387,0
25Rivermouth_FishNORRBOTTENSHavNollBf__TotalSkydd.tif,0.0006873315384577458,0.4300000071525574,9.180000027641654,0.011489875797446666,834750000,834,8
25Rivermouth_FishOstergotlandsHavNollBf__TotalSkydd.tif,1.7975912210582594e-05,0.05000000074505806,0.09999999962747097,0.0007816442395351891,347687500,347,7
25Rivermouth_FishSkaneNorrNollBf__TotalSkydd.tif,0.004037583246384061,0.8999999761581421,84.86999983899295,0.039124311454965637,1313750000,1313,8
25Rivermouth_FishSkaneSoder__TotalSkydd.tif,0.00033579620355629267,0.7099999785423279,6.089999947696924,0.012818976608048791,1133500000,1133,5
25Rivermouth_FishSTOCKHOLMSHavNollBf__TotalSkydd.tif,0.0,0.0,0.0,0.0,1308937500,1308,9
25Rivermouth_FishSÖDERMANLANDSHavNollBf__TotalSkydd.tif,0.00025144138646089517,0.4000000059604645,1.5700000170618296,0.008307956690573357,390250000,390,3
25Rivermouth_FishUppsalaHavNollBf__TotalSkydd.tif,0.00042364813326393384,0.4699999988079071,4.449999991804361,0.010934680793798167,656500000,656,5
25Rivermouth_FishVasterbottensHavNollBf__TotalSkydd.tif,0.002666292227413091,0.6499999761581421,33.23000003024936,0.02912859925034504,778937500,778,9
25Rivermouth_FishVasterHavetNollBf__TotalSkydd.tif,0.0,0.0,0.0,0.0,1675687500,1675,7
25Rivermouth_FishVasternorrlandsHavNollBf__TotalSkydd.tif,0.0025547183114416417,0.6800000071525574,7.119999933987856,0.03666269247793265,174187500,174,2
25Rivermouth_FishVastragotlandHavNollBf__TotalSkydd.tif,0.002559463813603585,0.8399999737739563,50.789999917149544,0.0374408803430044,1240250000,1240,3
26Eel_MigrationBlekinge__TotalSkydd.tif,0.3015792237576156,0.4299999978393316,1149.6200009640306,0.14993980523726042,238250000,238,3
26Eel_MigrationBottniskaVikenHavNollBf__TotalSkydd.tif,0.0,0.0,0.0,0.0,326500000,326,5
26Eel_MigrationEgentligaOstersjonHavNollBf__TotalSkydd.tif,0.0006444158383281015,0.25,105.12999986484647,0.007421613427303006,10196250000,10196,3
26Eel_MigrationGavleborgsHavNollBf__TotalSkydd.tif,0.025911977642237762,0.03999999910593033,57.109998723492026,0.008351854896447033,137750000,137,8
26Eel_MigrationGOTLANDSHavNollBf__TotalSkydd.tif,0.0,0.0,0.0,0.0,1042750000,1042,8
26Eel_MigrationHALLANDSHavNollBf__TotalSkydd.tif,0.570831020875788,1.0,2672.0600087195635,0.343948749642719,292562500,292,6
26Eel_MigrationKALMARHavNollBf__TotalSkydd.tif,0.1440019373868012,0.3499999940395355,891.6599962990731,0.11558230204021859,387000000,387,0
26Eel_MigrationNORRBOTTENSHavNollBf__TotalSkydd.tif,0.0,0.0,0.0,0.0,834750000,834,8
26Eel_MigrationOstergotlandsHavNollBf__TotalSkydd.tif,0.12726766072212312,0.2800000011920929,707.9899965971708,0.07443261085909682,347687500,347,7
26Eel_MigrationSkaneNorrNollBf__TotalSkydd.tif,0.5270223592661435,0.9700000286102295,11078.009991774336,0.2983907174111583,1313750000,1313,8
26Eel_MigrationSkaneSoder__TotalSkydd.tif,0.22317545223859128,0.49000000953674316,4047.5100017990917,0.1216556643407056,1133500000,1133,5
26Eel_MigrationSTOCKHOLMSHavNollBf__TotalSkydd.tif,0.017296948721827583,0.15000000596046448,362.24999708123505,0.02932018742123216,1308937500,1308,9
26Eel_MigrationSÖDERMANLANDSHavNollBf__TotalSkydd.tif,0.05895259415236833,0.1899999976158142,368.0999978873879,0.023369631560797542,390250000,390,3
26Eel_MigrationUppsalaHavNollBf__TotalSkydd.tif,0.012171553421775496,0.03999999910593033,127.84999714232981,0.011459962629170449,656500000,656,5
26Eel_MigrationVasterbottensHavNollBf__TotalSkydd.tif,0.0,0.0,0.0,0.0,778937500,778,9
26Eel_MigrationVasterHavetNollBf__TotalSkydd.tif,0.01879564356084541,0.5,503.9299995098263,0.06188238638564532,1675687500,1675,7
26Eel_MigrationVasternorrlandsHavNollBf__TotalSkydd.tif,0.002052386032345905,0.029999999329447746,5.719999872148037,0.005998933476357802,174187500,174,2
26Eel_MigrationVastragotlandHavNollBf__TotalSkydd.tif,0.19611771850458298,0.8299999833106995,3891.7600060049444,0.15800989631722354,1240250000,1240,3
27Seabird_Winter_CoastalBlekinge__TotalSkydd.tif,0.1605666321619235,1.0,612.0800018012524,0.23641142917902408,238250000,238,3
27Seabird_Winter_CoastalBottniskaVikenHavNollBf__TotalSkydd.tif,0.0,0.0,0.0,0.0,326500000,326,5
27Seabird_Winter_CoastalEgentligaOstersjonHavNollBf__TotalSkydd.tif,0.0,0.0,0.0,0.0,10196250000,10196,3
27Seabird_Winter_CoastalGavleborgsHavNollBf__TotalSkydd.tif,0.0,0.0,0.0,0.0,137750000,137,8
27Seabird_Winter_CoastalGOTLANDSHavNollBf__TotalSkydd.tif,0.030795972110595073,0.7599999904632568,513.7999986931682,0.11621785266613467,1042750000,1042,8
27Seabird_Winter_CoastalHALLANDSHavNollBf__TotalSkydd.tif,0.10395641920738331,0.7300000190734863,486.6199983097613,0.15406356725860118,292562500,292,6
27Seabird_Winter_CoastalKALMARHavNollBf__TotalSkydd.tif,0.11743701492960851,0.8799999952316284,727.1699964441359,0.20782232381160157,387000000,387,0
27Seabird_Winter_CoastalNORRBOTTENSHavNollBf__TotalSkydd.tif,0.0,0.0,0.0,0.0,834750000,834,8
27Seabird_Winter_CoastalOstergotlandsHavNollBf__TotalSkydd.tif,0.0601042598601797,0.49000000953674316,334.35999760217965,0.08777682754656803,347687500,347,7
27Seabird_Winter_CoastalSkaneNorrNollBf__TotalSkydd.tif,0.03552188387833585,1.0,746.6699991226196,0.12968064322383782,1313750000,1313,8
27Seabird_Winter_CoastalSkaneSoder__TotalSkydd.tif,0.03550176415633514,1.0,643.859994739294,0.13054922711721392,1133500000,1133,5
27Seabird_Winter_CoastalSTOCKHOLMSHavNollBf__TotalSkydd.tif,0.026176288014480863,0.6899999976158142,548.2099998872727,0.06632673610022823,1308937500,1308,9
27Seabird_Winter_CoastalSÖDERMANLANDSHavNollBf__TotalSkydd.tif,1.1210762379568102e-05,0.07000000029802322,0.07000000029802322,0.0008858630649885103,390250000,390,3
27Seabird_Winter_CoastalUppsalaHavNollBf__TotalSkydd.tif,0.0,0.0,0.0,0.0,656500000,656,5
27Seabird_Winter_CoastalVasterbottensHavNollBf__TotalSkydd.tif,0.0,0.0,0.0,0.0,778937500,778,9
27Seabird_Winter_CoastalVasterHavetNollBf__TotalSkydd.tif,0.0,0.0,0.0,0.0,1675687500,1675,7
27Seabird_Winter_CoastalVasternorrlandsHavNollBf__TotalSkydd.tif,0.0,0.0,0.0,0.0,174187500,174,2
27Seabird_Winter_CoastalVastragotlandHavNollBf__TotalSkydd.tif,0.1424400324043772,0.7300000190734863,2826.580003032461,0.16988315446090774,1240250000,1240,3
28Seabird_Winter_OffshoreBlekinge__TotalSkydd.tif,0.12401101791816847,0.36000001430511475,472.7300003040582,0.09054801480840008,238250000,238,3
28Seabird_Winter_OffshoreBottniskaVikenHavNollBf__TotalSkydd.tif,0.2227813950062346,0.4300000071525574,1163.8100075125694,0.10419378336364138,326500000,326,5
28Seabird_Winter_OffshoreEgentligaOstersjonHavNollBf__TotalSkydd.tif,0.31604339777336365,0.8699999861419201,51559.31991274655,0.17638891314311841,10196250000,10196,3
28Seabird_Winter_OffshoreGavleborgsHavNollBf__TotalSkydd.tif,0.02880671480248011,0.20999999344348907,63.489999424666166,0.0407006363233284,137750000,137,8
28Seabird_Winter_OffshoreGOTLANDSHavNollBf__TotalSkydd.tif,0.24608846804275805,0.6200000047683716,4105.740000825375,0.1507883605579248,1042750000,1042,8
28Seabird_Winter_OffshoreHALLANDSHavNollBf__TotalSkydd.tif,0.02562059383601415,0.7099999785423279,119.92999974638224,0.07858908361189569,292562500,292,6
28Seabird_Winter_OffshoreKALMARHavNollBf__TotalSkydd.tif,0.25746608516369834,0.6800000071525574,1594.22999933362,0.19899332409714246,387000000,387,0
28Seabird_Winter_OffshoreNORRBOTTENSHavNollBf__TotalSkydd.tif,0.0,0.0,0.0,0.0,834750000,834,8
28Seabird_Winter_OffshoreOstergotlandsHavNollBf__TotalSkydd.tif,0.28517886051921865,0.4399999976158142,1586.4500010684133,0.11658025526961364,347687500,347,7
28Seabird_Winter_OffshoreSkaneNorrNollBf__TotalSkydd.tif,0.1936807799480898,0.6100000143051147,4071.1699945088476,0.13079712791869286,1313750000,1313,8
28Seabird_Winter_OffshoreSkaneSoder__TotalSkydd.tif,0.11662439325923797,0.47999998927116394,2115.09999614954,0.13881561031314527,1133500000,1133,5
28Seabird_Winter_OffshoreSTOCKHOLMSHavNollBf__TotalSkydd.tif,0.13279186383123479,0.4099999964237213,2781.06000421755,0.1143157725689076,1308937500,1308,9
28Seabird_Winter_OffshoreSÖDERMANLANDSHavNollBf__TotalSkydd.tif,0.26393658018263483,0.4399999976158142,1648.020006660372,0.11325696748031241,390250000,390,3
28Seabird_Winter_OffshoreUppsalaHavNollBf__TotalSkydd.tif,0.09463537712911284,0.25,994.0500013642013,0.06062011276725081,656500000,656,5
28Seabird_Winter_OffshoreVasterbottensHavNollBf__TotalSkydd.tif,0.0,0.0,0.0,0.0,778937500,778,9
28Seabird_Winter_OffshoreVasterHavetNollBf__TotalSkydd.tif,0.028176867649893435,0.33000001311302185,755.4499985612929,0.0616770127659663,1675687500,1675,7
28Seabird_Winter_OffshoreVasternorrlandsHavNollBf__TotalSkydd.tif,0.0,0.0,0.0,0.0,174187500,174,2
28Seabird_Winter_OffshoreVastragotlandHavNollBf__TotalSkydd.tif,0.0,0.0,0.0,0.0,1240250000,1240,3
37Anoxia_BackgroundBlekinge__TotalSkydd.tif,0.06070304284183013,0.11999999731779099,231.39999931305647,0.019489118612159167,238250000,238,3
37Anoxia_BackgroundBottniskaVikenHavNollBf__TotalSkydd.tif,0.006318912569327911,0.03999999910593033,33.009999262169,0.01233051017300861,326500000,326,5
37Anoxia_BackgroundEgentligaOstersjonHavNollBf__TotalSkydd.tif,0.12232603910589764,0.8000000230967999,19956.27001973614,0.08208795199726081,10196250000,10196,3
37Anoxia_BackgroundGavleborgsHavNollBf__TotalSkydd.tif,0.05001361150051148,0.20000000298023224,110.2299997471273,0.029151253291420248,137750000,137,8
37Anoxia_BackgroundGOTLANDSHavNollBf__TotalSkydd.tif,0.1621044117129412,0.6700000166893005,2704.550005018711,0.10568842050161041,1042750000,1042,8
37Anoxia_BackgroundHALLANDSHavNollBf__TotalSkydd.tif,0.09485793653760194,0.25999999046325684,444.03000093251467,0.05180653219118045,292562500,292,6
37Anoxia_BackgroundKALMARHavNollBf__TotalSkydd.tif,0.0883801677646308,0.28999999165534973,547.2499987985939,0.059614674151738774,387000000,387,0
37Anoxia_BackgroundNORRBOTTENSHavNollBf__TotalSkydd.tif,0.017622790873657625,0.10000000149011612,235.36999490857124,0.01421876337743382,834750000,834,8
37Anoxia_BackgroundOstergotlandsHavNollBf__TotalSkydd.tif,0.21816286190061202,0.44999998807907104,1213.6400007531047,0.10421814239937513,347687500,347,7
37Anoxia_BackgroundSkaneNorrNollBf__TotalSkydd.tif,0.1649571836339425,0.3799999952316284,3467.3999999854714,0.06754017833650974,1313750000,1313,8
37Anoxia_BackgroundSkaneSoder__TotalSkydd.tif,0.07062362162145713,0.23000000417232513,1280.8300017267466,0.034435578338993585,1133500000,1133,5
37Anoxia_BackgroundSTOCKHOLMSHavNollBf__TotalSkydd.tif,0.1717724298882842,0.5099999904632568,3597.429999150336,0.08224682744327787,1308937500,1308,9
37Anoxia_BackgroundSÖDERMANLANDSHavNollBf__TotalSkydd.tif,0.3651057007745825,0.6100000143051147,2279.719995636493,0.10631496540171187,390250000,390,3
37Anoxia_BackgroundUppsalaHavNollBf__TotalSkydd.tif,0.028171172477794357,0.20000000298023224,295.90999570675194,0.016915222421014568,656500000,656,5
37Anoxia_BackgroundVasterbottensHavNollBf__TotalSkydd.tif,0.06720933941032486,0.18000000715255737,837.6299970708787,0.035960735664988516,778937500,778,9
37Anoxia_BackgroundVasterHavetNollBf__TotalSkydd.tif,0.03003319512125513,0.23000000417232513,805.2199943959713,0.04845800911736363,1675687500,1675,7
37Anoxia_BackgroundVasternorrlandsHavNollBf__TotalSkydd.tif,0.1295766057155874,0.25,361.1300001293421,0.05613061756113697,174187500,174,2
37Anoxia_BackgroundVastragotlandHavNollBf__TotalSkydd.tif,0.11321154991406973,0.7799999713897705,2246.5699964948,0.09979478731290994,1240250000,1240,3
